"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"dotty.tools.benchmarks.tuples.ArrayOps.baseline","avgt",1,20,0.301287,0.004558,"ns/op",0
"dotty.tools.benchmarks.tuples.ArrayOps.baseline","avgt",1,20,0.302665,0.004649,"ns/op",5
"dotty.tools.benchmarks.tuples.ArrayOps.baseline","avgt",1,20,0.305479,0.006833,"ns/op",10
"dotty.tools.benchmarks.tuples.ArrayOps.baseline","avgt",1,20,0.307480,0.006484,"ns/op",15
"dotty.tools.benchmarks.tuples.ArrayOps.baseline","avgt",1,20,0.301941,0.003893,"ns/op",20
"dotty.tools.benchmarks.tuples.ArrayOps.baseline","avgt",1,20,0.300659,0.003699,"ns/op",25
"dotty.tools.benchmarks.tuples.ArrayOps.baseline","avgt",1,20,0.304128,0.006872,"ns/op",30
"dotty.tools.benchmarks.tuples.ArrayOps.fromArray","avgt",1,20,4.807751,0.063805,"ns/op",0
"dotty.tools.benchmarks.tuples.ArrayOps.fromArray","avgt",1,20,7.383020,0.118580,"ns/op",5
"dotty.tools.benchmarks.tuples.ArrayOps.fromArray","avgt",1,20,9.542806,0.253861,"ns/op",10
"dotty.tools.benchmarks.tuples.ArrayOps.fromArray","avgt",1,20,15.847258,0.496734,"ns/op",15
"dotty.tools.benchmarks.tuples.ArrayOps.fromArray","avgt",1,20,21.553068,0.377783,"ns/op",20
"dotty.tools.benchmarks.tuples.ArrayOps.fromArray","avgt",1,20,17.307722,0.341839,"ns/op",25
"dotty.tools.benchmarks.tuples.ArrayOps.fromArray","avgt",1,20,19.259385,0.356215,"ns/op",30
"dotty.tools.benchmarks.tuples.ArrayOps.fromIArray","avgt",1,20,5.133694,0.070668,"ns/op",0
"dotty.tools.benchmarks.tuples.ArrayOps.fromIArray","avgt",1,20,7.675563,0.201592,"ns/op",5
"dotty.tools.benchmarks.tuples.ArrayOps.fromIArray","avgt",1,20,10.634647,0.544432,"ns/op",10
"dotty.tools.benchmarks.tuples.ArrayOps.fromIArray","avgt",1,20,15.733794,0.366517,"ns/op",15
"dotty.tools.benchmarks.tuples.ArrayOps.fromIArray","avgt",1,20,21.311446,0.404450,"ns/op",20
"dotty.tools.benchmarks.tuples.ArrayOps.fromIArray","avgt",1,20,5.102623,0.085603,"ns/op",25
"dotty.tools.benchmarks.tuples.ArrayOps.fromIArray","avgt",1,20,5.118807,0.085698,"ns/op",30
"dotty.tools.benchmarks.tuples.ArrayOps.toArray","avgt",1,20,3.258488,0.009474,"ns/op",0
"dotty.tools.benchmarks.tuples.ArrayOps.toArray","avgt",1,20,9.559828,0.184920,"ns/op",5
"dotty.tools.benchmarks.tuples.ArrayOps.toArray","avgt",1,20,22.830335,0.410024,"ns/op",10
"dotty.tools.benchmarks.tuples.ArrayOps.toArray","avgt",1,20,32.244784,0.521161,"ns/op",15
"dotty.tools.benchmarks.tuples.ArrayOps.toArray","avgt",1,20,51.550625,0.860758,"ns/op",20
"dotty.tools.benchmarks.tuples.ArrayOps.toArray","avgt",1,20,14.909970,0.179355,"ns/op",25
"dotty.tools.benchmarks.tuples.ArrayOps.toArray","avgt",1,20,16.811033,0.350358,"ns/op",30
"dotty.tools.benchmarks.tuples.ArrayOps.toIArray","avgt",1,20,3.258473,0.011320,"ns/op",0
"dotty.tools.benchmarks.tuples.ArrayOps.toIArray","avgt",1,20,9.570956,0.205092,"ns/op",5
"dotty.tools.benchmarks.tuples.ArrayOps.toIArray","avgt",1,20,22.768285,0.405557,"ns/op",10
"dotty.tools.benchmarks.tuples.ArrayOps.toIArray","avgt",1,20,34.880201,0.637106,"ns/op",15
"dotty.tools.benchmarks.tuples.ArrayOps.toIArray","avgt",1,20,51.613896,0.971396,"ns/op",20
"dotty.tools.benchmarks.tuples.ArrayOps.toIArray","avgt",1,20,3.846535,0.013833,"ns/op",25
"dotty.tools.benchmarks.tuples.ArrayOps.toIArray","avgt",1,20,3.856808,0.019754,"ns/op",30
