"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: sizes"
"dotty.tools.benchmarks.tuples.Concat.arrayConcat","avgt",1,20,38.909750,0.738950,"ns/op","0 0"
"dotty.tools.benchmarks.tuples.Concat.arrayConcat","avgt",1,20,36.819358,0.152812,"ns/op","0 5"
"dotty.tools.benchmarks.tuples.Concat.arrayConcat","avgt",1,20,37.769272,1.342357,"ns/op","0 10"
"dotty.tools.benchmarks.tuples.Concat.arrayConcat","avgt",1,20,39.073530,1.396754,"ns/op","0 15"
"dotty.tools.benchmarks.tuples.Concat.arrayConcat","avgt",1,20,39.396242,1.421824,"ns/op","0 20"
"dotty.tools.benchmarks.tuples.Concat.arrayConcat","avgt",1,20,40.218793,1.726922,"ns/op","0 25"
"dotty.tools.benchmarks.tuples.Concat.arrayConcat","avgt",1,20,40.909185,1.635656,"ns/op","0 30"
"dotty.tools.benchmarks.tuples.Concat.arrayConcat","avgt",1,20,27.462873,1.081689,"ns/op","5 0"
"dotty.tools.benchmarks.tuples.Concat.arrayConcat","avgt",1,20,43.722235,1.858725,"ns/op","5 5"
"dotty.tools.benchmarks.tuples.Concat.arrayConcat","avgt",1,20,43.990633,1.774447,"ns/op","5 10"
"dotty.tools.benchmarks.tuples.Concat.arrayConcat","avgt",1,20,46.037318,1.994271,"ns/op","5 15"
"dotty.tools.benchmarks.tuples.Concat.arrayConcat","avgt",1,20,46.429481,1.752596,"ns/op","5 20"
"dotty.tools.benchmarks.tuples.Concat.arrayConcat","avgt",1,20,46.418024,2.339706,"ns/op","5 25"
"dotty.tools.benchmarks.tuples.Concat.arrayConcat","avgt",1,20,46.968397,1.993173,"ns/op","5 30"
"dotty.tools.benchmarks.tuples.Concat.arrayConcat","avgt",1,20,27.762324,1.158246,"ns/op","10 0"
"dotty.tools.benchmarks.tuples.Concat.arrayConcat","avgt",1,20,43.876421,1.707638,"ns/op","10 5"
"dotty.tools.benchmarks.tuples.Concat.arrayConcat","avgt",1,20,44.791006,1.748622,"ns/op","10 10"
"dotty.tools.benchmarks.tuples.Concat.arrayConcat","avgt",1,20,45.908456,1.768426,"ns/op","10 15"
"dotty.tools.benchmarks.tuples.Concat.arrayConcat","avgt",1,20,46.054821,1.808581,"ns/op","10 20"
"dotty.tools.benchmarks.tuples.Concat.arrayConcat","avgt",1,20,45.921642,2.131137,"ns/op","10 25"
"dotty.tools.benchmarks.tuples.Concat.arrayConcat","avgt",1,20,47.935142,1.879981,"ns/op","10 30"
"dotty.tools.benchmarks.tuples.Concat.arrayConcat","avgt",1,20,28.703250,0.960906,"ns/op","15 0"
"dotty.tools.benchmarks.tuples.Concat.arrayConcat","avgt",1,20,44.568368,1.730140,"ns/op","15 5"
"dotty.tools.benchmarks.tuples.Concat.arrayConcat","avgt",1,20,45.508810,2.113427,"ns/op","15 10"
"dotty.tools.benchmarks.tuples.Concat.arrayConcat","avgt",1,20,47.874149,3.477187,"ns/op","15 15"
"dotty.tools.benchmarks.tuples.Concat.arrayConcat","avgt",1,20,46.911064,2.087707,"ns/op","15 20"
"dotty.tools.benchmarks.tuples.Concat.arrayConcat","avgt",1,20,47.335409,1.793512,"ns/op","15 25"
"dotty.tools.benchmarks.tuples.Concat.arrayConcat","avgt",1,20,50.205048,1.725805,"ns/op","15 30"
"dotty.tools.benchmarks.tuples.Concat.arrayConcat","avgt",1,20,28.567219,1.113097,"ns/op","20 0"
"dotty.tools.benchmarks.tuples.Concat.arrayConcat","avgt",1,20,45.123565,1.968626,"ns/op","20 5"
"dotty.tools.benchmarks.tuples.Concat.arrayConcat","avgt",1,20,44.838262,1.813011,"ns/op","20 10"
"dotty.tools.benchmarks.tuples.Concat.arrayConcat","avgt",1,20,46.709481,2.072816,"ns/op","20 15"
"dotty.tools.benchmarks.tuples.Concat.arrayConcat","avgt",1,20,47.265058,1.186582,"ns/op","20 20"
"dotty.tools.benchmarks.tuples.Concat.arrayConcat","avgt",1,20,47.820445,2.163612,"ns/op","20 25"
"dotty.tools.benchmarks.tuples.Concat.arrayConcat","avgt",1,20,49.070700,2.052776,"ns/op","20 30"
"dotty.tools.benchmarks.tuples.Concat.arrayConcat","avgt",1,20,28.729753,1.040504,"ns/op","25 0"
"dotty.tools.benchmarks.tuples.Concat.arrayConcat","avgt",1,20,45.074065,2.137299,"ns/op","25 5"
"dotty.tools.benchmarks.tuples.Concat.arrayConcat","avgt",1,20,45.431560,1.872455,"ns/op","25 10"
"dotty.tools.benchmarks.tuples.Concat.arrayConcat","avgt",1,20,47.178522,2.124893,"ns/op","25 15"
"dotty.tools.benchmarks.tuples.Concat.arrayConcat","avgt",1,20,47.855962,1.500332,"ns/op","25 20"
"dotty.tools.benchmarks.tuples.Concat.arrayConcat","avgt",1,20,48.220386,2.382938,"ns/op","25 25"
